Timestamp/s  Throughput  Mean Latency/ms
1540072724   6849        150       
1540072725   6740        151       
1540072726   6682        152       
1540072727   6647        155       
1540072728   6693        152       
1540072729   6637        153       
1540072730   6797        155       
1540072731   6271        159       
1540072732   6497        159       
1540072733   6528        155       
1540072734   6691        153       
1540072735   6653        153       
1540072736   6615        154       
1540072737   6654        154       
1540072738   6804        153       
1540072739   6395        169       
1540072740   6041        168       
1540072741   6382        161       
1540072742   5694        182       
1540072743   6311        161       
1540072744   6473        155       
1540072745   6434        157       
1540072746   6412        156       
1540072747   6473        156       
1540072748   6535        153       
1540072749   6621        154       
1540072750   6611        153       
1540072751   6655        152       
1540072752   6613        155       
1540072753   6586        154       
1540072754   6681        152       
1540072755   6730        151       
1540072756   6700        154       
1540072757   6662        154       
1540072758   6532        156       
1540072759   6615        156       
1540072760   6522        155       
1540072761   6547        155       
1540072762   6036        168       
1540072763   6603        155       
1540072764   6693        153       
1540072765   6690        153       
1540072766   6716        153       
1540072767   6611        153       
1540072768   6659        155       
1540072769   6637        156       
1540072770   6618        150       
1540072771   6713        153       
1540072772   6737        152       
1540072773   6630        158       
1540072774   6622        154       
1540072775   6431        161       
1540072776   6321        162       
1540072777   6161        164       
1540072778   6179        164       
1540072779   6226        162       
1540072780   6347        160       
1540072781   6310        161       
1540072782   6273        174       
1540072783   5811        164       
1540072784   6349        159       
1540072785   6564        154       
1540072786   6722        151       
1540072787   6737        151       
1540072788   6868        149       
1540072789   6834        149       
1540072790   6797        151       
1540072791   6882        147       
1540072792   6864        149       
1540072793   6851        149       
1540072794   6875        148       
1540072795   6837        152       
1540072796   6074        165       
1540072797   6695        152       
1540072798   6774        151       
1540072799   6696        155       
1540072800   6433        160       
1540072801   6453        159       
1540072802   6415        158       
1540072803   6299        189       
1540072804   6453        158       
1540072805   6401        157       
1540072806   6488        160       
1540072807   6322        167       
1540072808   6224        163       
1540072809   6079        170       
1540072810   6174        165       
1540072811   6178        164       
1540072812   6051        163       
1540072813   6101        167       
1540072814   6058        167       
1540072815   5984        162       
1540072816   6071        164       
1540072817   5908        164       
1540072818   4712        210       
1540072819   6022        171       
1540072820   6090        167       
1540072821   6189        164       
1540072822   6388        158       
1540072823   5954        172       
1540072824   6581        154       
1540072825   6493        158       
1540072826   6533        160       
1540072827   6367        177       
1540072828   6216        171       
1540072829   6189        178       
1540072830   6174        175       
1540072831   6139        169       
1540072832   6079        163       
1540072833   6025        162       
1540072834   6000        160       
1540072835   6066        159       
1540072836   6185        157       
1540072837   6188        158       
1540072838   6295        159       
1540072839   6382        168       
1540072840   6466        215       
1540072841   6129        181       
1540072842   6144        161       
1540072843   6057        164       
1540072844   5596        173       
1540072845   5851        175       
1540072846   5258        189       
1540072847   5676        172       
1540072848   5926        169       
1540072849   5873        168       
1540072850   5925        171       
1540072851   6062        196       
1540072852   6101        173       
1540072853   6158        163       
1540072854   6224        166       
1540072855   6209        156       
1540072856   6147        164       
1540072857   6135        158       
1540072858   6070        175       
1540072859   6089        159       
1540072860   5954        167       
1540072861   5925        184       
1540072862   5896        185       
1540072863   5976        162       
1540072864   6087        181       
1540072865   5607        172       
1540072866   5883        172       
1540072867   5958        172       
1540072868   5874        166       
1540072869   5870        166       
1540072870   5912        161       
1540072871   6004        158       
1540072872   6050        156       
1540072873   6175        157       
1540072874   6305        159       
1540072875   6198        159       
1540072876   6086        170       
1540072877   6390        161       
1540072878   6492        156       
1540072879   6613        154       
1540072880   6568        155       
1540072881   6576        155       
1540072882   6562        156       
1540072883   6602        153       
1540072884   6679        152       
1540072885   6080        168       
1540072886   6591        155       
1540072887   6625        156       
1540072888   6547        153       
1540072889   6694        154       
1540072890   6619        153       
1540072891   6553        155       
1540072892   6657        158       
1540072893   6033        165       
1540072894   6511        157       
1540072895   6528        157       
1540072896   6296        162       
1540072897   6201        166       
1540072898   6186        162       
1540072899   6444        159       
1540072900   6392        159       
1540072901   6449        157       
1540072902   6459        159       
1540072903   6382        161       
1540072904   6483        158       
1540072905   5719        182       
1540072906   6193        163       
1540072907   6304        161       
1540072908   6362        163       
1540072909   6201        162       
1540072910   6350        160       
1540072911   6328        162       
1540072912   6481        157       
1540072913   6554        155       
1540072914   6471        157       
1540072915   6651        156       
1540072916   6615        154       
1540072917   6649        153       
1540072918   6709        151       
1540072919   6764        151       
1540072920   6537        156       
1540072921   6652        155       
1540072922   6548        154       
1540072923   6648        155       
1540072924   6754        151       
1540072925   6646        154       
1540072926   5971        168       
1540072927   6616        155       
1540072928   6570        156       
1540072929   6555        155       
1540072930   6623        154       
1540072931   6644        153       
1540072932   6640        157       
1540072933   6472        157       
1540072934   6576        155       
1540072935   6497        157       
1540072936   6559        155       
1540072937   6557        157       
1540072938   6543        156       
1540072939   6589        155       
1540072940   6609        154       
1540072941   6646        154       
1540072942   6636        153       
1540072943   4972        203       
1540072944   6416        161       
1540072945   6521        155       
1540072946   6025        170       
1540072947   6635        153       
1540072948   6673        153       
1540072949   6824        150       
1540072950   6724        152       
1540072951   6767        150       
1540072952   6886        150       
1540072953   6742        150       
1540072954   6829        150       
1540072955   6770        151       
1540072956   6709        150       
1540072957   6834        150       
1540072958   6833        149       
1540072959   6753        150       
1540072960   6665        153       
1540072961   6686        153       
1540072962   6754        153       
1540072963   6579        155       
1540072964   6523        155       
1540072965   6622        153       
1540072966   6725        152       
1540072967   5980        170       
1540072968   6682        152       
1540072969   6673        154       
1540072970   6692        151       
1540072971   6783        151       
1540072972   6791        150       
1540072973   6627        153       
1540072974   6697        156       
1540072975   6563        155       
1540072976   6703        152       
1540072977   6693        152       
1540072978   6712        152       
1540072979   6667        154       
1540072980   6552        155       
1540072981   6469        158       
1540072982   6632        153       
1540072983   6588        154       
1540072984   6708        153       
1540072985   6589        156       
1540072986   6539        155       
1540072987   6235        165       
1540072988   6581        154       
1540072989   6606        154       
1540072990   6662        152       
1540072991   6760        151       
1540072992   6758        151       
1540072993   6738        151       
1540072994   6846        149       
1540072995   6905        147       
1540072996   6928        149       
1540072997   6898        148       
1540072998   6783        150       
1540072999   6730        151       
1540073000   6789        150       
1540073001   6712        152       
1540073002   6677        153       
1540073003   6704        152       
1540073004   6843        150       
1540073005   6686        153       
1540073006   6693        153       
1540073007   6524        157       
1540073008   6068        167       
1540073009   6547        157       
1540073010   6573        155       
1540073011   6606        153       
1540073012   6630        156       
1540073013   6570        155       
1540073014   6639        154       
1540073015   6582        154       
1540073016   6422        158       
1540073017   6544        156       
1540073018   6618        154       
1540073019   6647        153       
1540073020   6681        153       
1540073021   6702        153       
1540073022   6692        154       
1540073023   6623        153       
1540073024   6738        152       
1540073025   6779        150       
1540073026   6664        153       
1540073027   6685        153       
1540073028   6108        167       
1540073029   6523        157       
1540073030   6479        156       
1540073031   6660        153       
1540073032   6563        155       
1540073033   6622        155       
